Date,High,Low,Open,Close,VOLUME,Adj Close
21.02.2017,89282.6,88719.84,88719.84,88965.14,626718800,88965.14
22.02.2017,89095.34,87467.14,88833.26,88531.28,705562900,88531.28
23.02.2017,89270.75,88736.6,88851.33,89138.37,670735400,89138.37
24.02.2017,89242.5,87892.67,89201.95,88258.45,638984100,88258.45
27.02.2017,88547.27,87706.04,88416.68,87765.41,523022500,87765.41
28.02.2017,88013.41,87244.99,87740.99,87478.33,848089700,87478.33
01.03.2017,89344.06,87638.93,87720.11,89320.25,971898600,89320.25
02.03.2017,90043.28,89417.38,89460.06,89933.88,835719900,89933.88
03.03.2017,89879.78,89365.33,89853.17,89722.05,802507800,89722.05
06.03.2017,91437.77,90065.15,90065.15,91044.99,743031100,91044.99
07.03.2017,91422.22,90621.31,91380.63,90813.61,797346100,90813.61
08.03.2017,90966.81,89136.4,90881.17,89484.9,895500000,89484.9
09.03.2017,89493.67,88648.56,89196.22,89002.56,685160300,89002.56
10.03.2017,89924.9,89324.34,89331.33,89611.4,578106300,89611.4
13.03.2017,89674.56,88921.13,89550.55,89429.73,593542200,89429.73
14.03.2017,89610.1,89094.66,89572.51,89136.53,641244900,89136.53
15.03.2017,90013.81,89372.6,89372.6,89445.55,671081200,89445.55
16.03.2017,90828.74,90137.77,90348.34,90268.32,740183200,90268.32
17.03.2017,90843.67,90102.3,90535.07,90491.39,676951200,90491.39
20.03.2017,90902.11,90132.06,90261.59,90902.11,597855900,90902.11
21.03.2017,91497,90440.13,91185.25,90606.46,924360100,90606.46
22.03.2017,90182.16,89277.36,89982.4,89809.09,867698600,89809.09
23.03.2017,90193.63,89601.33,90121.09,89764.11,653082600,89764.11
24.03.2017,90382.71,89657.41,89869.45,90382.71,559667600,90382.71
27.03.2017,90390.33,89514.48,90290.67,89695.05,665978200,89695.05
28.03.2017,90338.63,89846.39,90134.82,90181.73,631222200,90181.73
29.03.2017,89504,88818.56,89242.59,89269.72,717201700,89269.72
30.03.2017,89650.83,89112.87,89427.71,89282.25,562141200,89282.25
31.03.2017,89573,88886.89,89283.98,88947.4,651921200,88947.4
03.04.2017,89069.69,88576.96,89020.47,88669.47,461181400,88669.47
04.04.2017,88752.85,87997.7,88058.09,88612.55,511851100,88612.55
05.04.2017,89037.45,88129.92,88199.29,89037.45,639581800,89037.45
06.04.2017,88895.98,88527.59,88580.47,88679.04,585238000,88679.04
07.04.2017,88840.75,88351.21,88364.3,88497.33,597806900,88497.33
10.04.2017,91343.07,88730.81,88765.78,91240.45,945486600,91240.45
11.04.2017,91832.03,90836.38,91303.97,90904.49,839498600,90904.49
12.04.2017,91542.83,90952.16,91256.44,90952.16,740095900,90952.16
13.04.2017,91284.72,89735.59,91200.73,89870.68,703208800,89870.68
14.04.2017,90566.02,89347.46,89680.96,90063.69,502364700,90063.69
17.04.2017,90991.91,90052.4,90731.33,90653.8,675896100,90653.8
18.04.2017,91982.28,90397.15,90472.99,91373.78,810233400,91373.78
19.04.2017,91888.68,90434.32,91582.84,90804.13,947657300,90804.13
20.04.2017,92116.57,91148.08,91165.92,92039.38,776136900,92039.38
21.04.2017,92909.3,92326.5,92651.7,92423.93,719677200,92423.93
24.04.2017,93802.81,92770.72,92920.01,93802.81,849442200,93802.81
25.04.2017,94634.91,93188.15,94217.43,94634.91,933831700,94634.91
26.04.2017,95038.98,94284.41,94673.16,94522.34,899691100,94522.34
27.04.2017,95196.45,94207,94698.43,94282.48,761285100,94282.48
28.04.2017,94965.2,93945.96,94422.8,94655.31,763381800,94655.31
02.05.2017,95358.76,94312.01,94994.04,94355.91,723140300,94355.91
03.05.2017,94665.22,93655.43,94396.38,93862.74,735870600,93862.74
04.05.2017,94073.14,92999.81,93706.99,93038.49,788452000,93038.49
05.05.2017,94106.76,93113.72,93113.72,93928.39,778151500,93928.39
08.05.2017,94530.87,93717.21,94332.63,93832.7,815061200,93832.7
09.05.2017,95347.51,93673.29,93845.43,95323.38,831361200,95323.38
10.05.2017,96194.2,94968.76,95114.65,96194.2,971044400,96194.2
11.05.2017,96491.03,95015.45,96473.66,95114.06,929873200,95114.06
12.05.2017,95742.42,94684.37,95286.52,94996.35,781606200,94996.35
15.05.2017,95824.57,95210.18,95569.29,95587.75,611003000,95587.75
16.05.2017,96357.46,95716.13,96013.55,96161.5,894547500,96161.5
17.05.2017,96629.15,95396.74,95915.1,95724.95,1141323000,95724.95
18.05.2017,95628.39,94363.65,95469.52,95147.34,932463000,95147.34
22.05.2017,96468.49,95855.32,95855.32,96400.03,914376800,96400.03
23.05.2017,97776.33,96143.01,96232.85,97717.48,995760800,97717.48
24.05.2017,98794.9,97700.71,97733.36,98313.77,1233452000,98313.77
25.05.2017,98222.21,97393.69,98200.89,97712.94,1115201000,97712.94
26.05.2017,97988.15,97177.54,97734.44,97533.28,877281800,97533.28
29.05.2017,98181.79,97461.7,97695.45,97725.95,582827800,97725.95
30.05.2017,97958.11,97146.88,97830.33,97347.63,869355300,97347.63
31.05.2017,98444.35,97413.41,97836,97541.58,999670100,97541.58
01.06.2017,97876.17,96925.86,97853.78,97365.79,804980400,97365.79
02.06.2017,98867.9,97992.98,98103.23,98867.9,708494300,98867.9
05.06.2017,99278.08,97859.55,99150.46,98191.97,930598700,98191.97
06.06.2017,98556.57,97740.12,98213.47,98331.54,847938900,98331.54
